variant,epoch,train_loss,validation_loss,run_tag
calibrated_lr1e4,11,4.899380690615699,4.801760611736582,dicos-p6
calibrated_lr1e4,12,4.878109862145094,4.766015078626999,dicos-p6
calibrated_lr1e4,13,4.857551263747302,4.864479030033855,dicos-p6
calibrated_lr1e4,14,4.841069550833402,4.730616844241476,dicos-p6
calibrated_lr1e4,15,4.784973715027093,4.702457625555259,dicos-p6
calibrated_lr1e4,16,4.7847302893891595,4.737564601800452,dicos-p9
calibrated_lr1e4,17,4.784439817376574,4.734641439220043,dicos-p9
calibrated_lr1e4,18,4.790701669912658,4.73031875783493,dicos-p9
calibrated_lr1e4,19,4.80933679222174,4.740284242183188,dicos-p9
calibrated_lr1e4,20,4.8296821800362615,4.716961396037223,dicos-p9
calibrated_lr1e4,21,4.8544620102742035,4.770860000375773,dicos-p9
calibrated_lr1e4,22,4.839261384114559,4.790297813680825,dicos-p9
calibrated_lr1e4,23,4.798736468397445,4.832528245920318,dicos-p9
calibrated_lr1e4,24,4.832324673416434,4.688147352869304,dicos-p9
calibrated_lr1e4,25,4.8107405803965,4.736778148271329,dicos-p9
calibrated_lr1e4,26,4.777516722974676,4.68379883570692,dicos-p9
calibrated_lr1e4,27,4.764188228815237,4.67064517029557,dicos-p9
calibrated_lr1e4,28,4.741215552944091,4.6962532222183695,dicos-p9
calibrated_lr1e4,29,4.7337881987337225,4.64058522075022,dicos-p9
calibrated_lr1e4,30,4.742535000801731,4.673669853810859,dicos-p9
calibrated_lr1e4,31,4.748902938428805,4.721207942306385,dicos-p9
calibrated_lr1e4,32,4.768045015530675,4.780644860484066,dicos-p9
calibrated_lr1e4,33,4.796754024951394,4.693245286648305,dicos-p9
calibrated_lr1e4,34,4.792591650689645,4.794566192529212,dicos-p9
calibrated_lr1e4,35,4.778386696625701,4.692578143989708,dicos-p9
calibrated_lr1e4,36,4.790629338863494,4.693340447427238,dicos-p9
calibrated_lr1e4,37,4.740834798419532,4.720712283694378,dicos-p9
calibrated_lr1e4,38,4.729758399387778,4.635219681489869,dicos-p9
calibrated_lr1e4,39,4.731411352817449,4.663274642140066,dicos-p10
calibrated_lr1e4,40,4.7115276055425195,4.70276516527592,dicos-p10
calibrated_lr1e4_halfbatch,11,4.909867964216469,4.785942906865613,dicos-final-r2
calibrated_lr1e4_halfbatch,12,4.878609002241015,4.765122060196291,dicos-final-r2
calibrated_lr1e4_halfbatch,13,4.859713917491080,4.755306914994169,dicos-final-r2
calibrated_lr1e4_halfbatch,14,4.805462904373536,4.757107014188306,dicos-final-r2
calibrated_lr1e4_halfbatch,15,4.789201917588133,4.722937562629733,dicos-final-r2
calibrated_lr1e4_halfbatch,16,4.772677207613733,4.715658986550997,dicos-final-r2
calibrated_lr1e4_halfbatch,17,4.859527144153724,4.754796363598780,dicos-p7
calibrated_lr1e4_halfbatch,18,4.826109830917257,4.762149594015119,dicos-p7
calibrated_lr1e4_halfbatch,19,4.801962747132158,4.726555822359869,dicos-p7
calibrated_lr1e4_halfbatch,20,4.768680269878836,4.684469504377329,dicos-p7
calibrated_lr1e4_halfbatch,21,4.735790778367079,4.673036068110655,dicos-p7
calibrated_lr1e4_halfbatch,22,4.714583570822311,4.690804124925705,dicos-c-03
calibrated_lr1e4_halfbatch,23,4.744102898389873,4.691913252868206,dicos-c-03
calibrated_lr1e4_halfbatch,24,4.7367244262885535,4.681447421823727,dicos-c-03
calibrated_lr1e4_halfbatch,25,4.76172505761418,4.659069245067557,dicos-c-03
calibrated_lr1e4_halfbatch,26,4.780662492572495,4.720267803567744,dicos-c-03
calibrated_lr1e4_halfbatch,27,4.7963060765403975,4.71015667077563,dicos-c-03
calibrated_lr1e4_halfbatch,28,4.7730955248322875,4.730311178532736,dicos-c-03
calibrated_lr1e4_halfbatch,29,4.781288874627557,4.667829816023741,dicos-c-03
calibrated_lr1e4_halfbatch,30,4.744636787160818,4.659171737479605,dicos-c-03
calibrated_lr1e4_halfbatch,31,4.740825803182618,4.711623001587339,dicos-c-03
calibrated_lr1e4_halfbatch,32,4.7163714790548426,4.662477391705157,dicos-c-03
calibrated_lr1e4_halfbatch,33,4.706091812354422,4.619967105273447,dicos-c-03
calibrated_lr1e4_halfbatch,34,4.688207578653684,4.626824713817976,dicos-c-03
calibrated_lr1e4_halfbatch,35,4.688779973180439,4.656430369414837,dicos-c-03
calibrated_lr1e4_halfbatch,36,4.703173280004072,4.627113869214651,dicos-c-03
calibrated_lr1e4_halfbatch,37,4.7098736359994104,4.702042064764489,dicos-c-03
calibrated_lr1e4_halfbatch,38,4.726893449423414,4.720628398927379,dicos-c-03
calibrated_lr1e4_halfbatch,39,4.744286571734925,4.67779705604732,dicos-c-03
calibrated_lr1e4_halfbatch,40,4.743525865649167,4.6828630893855285,dicos-c-03
